"","region","strategy_code","variable","future_id","value"
"79","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_annual_shifted2015",0,0
"80","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_annual_shifted2016",0,0
"81","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_annual_shifted2017",0,0
"82","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_annual_shifted2018",0,0
"83","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_annual_shifted2019",0,0
"84","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_annual_shifted2020",0,0
"85","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_annual_shifted2021",0,0
"86","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_annual_shifted2022",0,0
"87","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_annual_shifted2023",0,0
"88","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_annual_shifted2024",0,0
"89","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_woody_perennial",0,821007.820708946
"90","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_woody_perennial_shifted2015",0,0
"91","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_woody_perennial_shifted2016",0,0
"92","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_woody_perennial_shifted2017",0,0
"93","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_woody_perennial_shifted2018",0,0
"94","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_woody_perennial_shifted2019",0,0
"95","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_woody_perennial_shifted2020",0,0
"96","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_woody_perennial_shifted2021",0,0
"97","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_woody_perennial_shifted2022",0,0
"98","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_woody_perennial_shifted2023",0,0
"99","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_woody_perennial_shifted2024",0,0
"100","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:pulses",0,45482.8127898516
"101","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:pulses_shifted2015",0,0
"102","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:pulses_shifted2016",0,0
"103","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:pulses_shifted2017",0,0
"104","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:pulses_shifted2018",0,0
"105","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:pulses_shifted2019",0,0
"106","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:pulses_shifted2020",0,0
"107","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:pulses_shifted2021",0,0
"108","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:pulses_shifted2022",0,0
