,fields_input
372,ef_lvst_entferm_horses_kg_ch4_head
373,ef_lvst_entferm_mules_kg_ch4_head
374,ef_lvst_entferm_pigs_kg_ch4_head
375,ef_lvst_entferm_sheep_kg_ch4_head
376,ef_soil_c_cultivated_organic_temperate_crop_grass_tonne_per_ha
377,ef_soil_c_cultivated_organic_tropical_crop_grass_tonne_per_ha
378,ef_soil_c_liming_dolomite
379,ef_soil_c_liming_limestone
380,ef_soil_c_urea
381,ef_soil_ef1_n_organic_amerndments_fertilizer_n2o_dry_climate
382,ef_soil_ef1_n_organic_amerndments_fertilizer_n2o_wet_climate
383,ef_soil_ef1_n_rice_fields_n2o
384,ef_soil_ef1_n_synthetic_fertilizer_n2o_dry_climate
385,ef_soil_ef1_n_synthetic_fertilizer_n2o_wet_climate
386,ef_soil_ef2_n_drained_managed_soils_n2o_temperate_crop_grass_kg_n2on_ha
387,ef_soil_ef2_n_drained_managed_soils_n2o_temperate_forest_nutrient_poor_kg_n2on_ha
388,ef_soil_ef2_n_drained_managed_soils_n2o_temperate_forest_nutrient_rich_kg_n2on_ha
389,ef_soil_ef2_n_drained_managed_soils_n2o_tropical_crop_grass_kg_n2on_ha
390,ef_soil_ef2_n_drained_managed_soils_n2o_tropical_forest_kg_n2on_ha
391,ef_soil_ef3_pasture_n2o_dry_climate
392,ef_soil_ef3_pasture_n2o_wet_climate
393,ef_soil_ef4_n_volatilisation_n2o_dry_climate
394,ef_soil_ef4_n_volatilisation_n2o_wet_climate
395,ef_soil_ef5_n_leaching_n2o
396,ef_trns_mobile_combustion_aviation_kg_ch4_per_tj_kerosene
397,ef_trns_mobile_combustion_aviation_kg_n2o_per_tj_kerosene
398,ef_trns_mobile_combustion_powered_bikes_kg_ch4_per_tj_gasoline
399,ef_trns_mobile_combustion_powered_bikes_kg_n2o_per_tj_gasoline
400,ef_trns_mobile_combustion_public_kg_ch4_per_tj_biofuels
401,ef_trns_mobile_combustion_public_kg_ch4_per_tj_diesel
402,ef_trns_mobile_combustion_public_kg_ch4_per_tj_gasoline
403,ef_trns_mobile_combustion_public_kg_ch4_per_tj_hydrocarbon_gas_liquids
404,ef_trns_mobile_combustion_public_kg_ch4_per_tj_natural_gas
405,ef_trns_mobile_combustion_public_kg_n2o_per_tj_biofuels
406,ef_trns_mobile_combustion_public_kg_n2o_per_tj_diesel
407,ef_trns_mobile_combustion_public_kg_n2o_per_tj_gasoline
408,ef_trns_mobile_combustion_public_kg_n2o_per_tj_hydrocarbon_gas_liquids
409,ef_trns_mobile_combustion_public_kg_n2o_per_tj_natural_gas
410,ef_trns_mobile_combustion_rail_freight_kg_ch4_per_tj_diesel
411,ef_trns_mobile_combustion_rail_freight_kg_ch4_per_tj_natural_gas
412,ef_trns_mobile_combustion_rail_freight_kg_n2o_per_tj_diesel
413,ef_trns_mobile_combustion_rail_freight_kg_n2o_per_tj_natural_gas
414,ef_trns_mobile_combustion_rail_passenger_kg_ch4_per_tj_diesel
415,ef_trns_mobile_combustion_rail_passenger_kg_ch4_per_tj_natural_gas
416,ef_trns_mobile_combustion_rail_passenger_kg_n2o_per_tj_diesel
417,ef_trns_mobile_combustion_rail_passenger_kg_n2o_per_tj_natural_gas
418,ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_biofuels
419,ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_diesel
420,ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_gasoline
421,ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_hydrocarbon_gas_liquids
422,ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_natural_gas
423,ef_trns_mobile_combustion_road_heavy_freight_kg_n2o_per_tj_biofuels
424,ef_trns_mobile_combustion_road_heavy_freight_kg_n2o_per_tj_diesel
425,ef_trns_mobile_combustion_road_heavy_freight_kg_n2o_per_tj_gasoline
426,ef_trns_mobile_combustion_road_heavy_freight_kg_n2o_per_tj_hydrocarbon_gas_liquids
427,ef_trns_mobile_combustion_road_heavy_freight_kg_n2o_per_tj_natural_gas
